A100,V100,Valid Plans,Money Cost,Wall Clock Time,Depth,Latency,TP/DP Strategy,PP Degree
4,0,62,20.27517808,9228.50144,0,156.1641693,1-Apr,1
2,6,149,25.01758904,20072.4594,2,510.2157593,1-1_1-2_1-1_1-1_1-1_1-2,6
3,5,340,27.60638356,15000.18137,3,257.0152283,1-4_2-1_1-2,3
4,4,252,30.19517808,8609.770496,0,253.200531,4-1_4-1,2
5,3,272,32.7839726,7272.88702,4,199.0795135,1-4_1-4,2
6,2,68,35.37276712,6125.976539,4,112.0567322,1-4_1-4,2
7,1,236,37.96156164,6125.976539,4,113.0104065,1-4_1-4,2
8,0,352,40.55035616,4661.546347,0,153.0647278,1-Aug,1
0,32,174,79.36,4165.726984,0,195.0263977,32-1,1
1,31,473,81.94879452,2194.863692,4,441.0743713,4-4_4-4,2
2,30,319,84.53758904,1753.997801,5,432.9681396,2-8_4-4,2
3,29,281,87.12638356,2937.854478,3,425.8155823,4-4_8-2,2
4,28,228,89.71517808,1972.063056,3,469.2077637,4-4_8-2,2
5,27,232,92.3039726,3007.202967,7,142.0974731,1-16_2-8,2
6,26,289,94.89276712,1767.522851,4,439.8822784,4-4_4-4,2
7,25,277,97.48156164,1956.389404,1,493.7648773,8-2_16-1,2
8,24,253,100.0703562,3007.202967,6,138.0443573,1-16_4-4,2
9,23,244,102.6591507,3584.016294,0,174.0455627,16-1_16-1,2
10,22,259,105.2479452,3458.399,0,175.2376556,16-1_16-1,2
11,21,240,107.8367397,3452.839311,0,221.9676971,8-1_8-1_8-1_8-1,4
12,20,218,110.4255342,3175.781083,0,211.9541168,8-1_8-1_8-1_8-1,4
13,19,213,113.0143288,3282.902136,0,164.9856567,16-1_16-1,2
14,18,205,115.6031233,3104.590359,0,278.9497375,16-1_16-1,2
15,17,237,118.1919178,3385.282578,0,169.0387726,16-1_16-1,2
16,16,206,120.7807123,1880.799475,0,130.8917999,16-1_16-1,2
17,15,208,123.3695068,1833.175366,6,144.9584961,2-8_2-8,2
18,14,200,125.9583014,1833.175366,6,144.0048218,2-8_2-8,2
19,13,209,128.5470959,1833.175366,6,141.1437988,2-8_2-8,2
20,12,225,131.1358904,1833.175366,6,141.1437988,2-8_2-8,2
21,11,222,133.7246849,1833.175366,6,141.1437988,2-8_2-8,2
22,10,210,136.3134795,1833.175366,6,200.9868622,2-8_2-8,2
23,9,205,138.902274,1833.175366,6,138.9980316,2-8_2-8,2
24,8,208,141.4910685,1833.175366,6,134.9449158,2-8_2-8,2
25,7,189,144.079863,1639.820833,0,169.9924469,16-1_16-1,2
26,6,190,146.6686575,1639.820833,0,170.9461212,16-1_16-1,2
27,5,187,149.2574521,1639.820833,0,166.8930054,16-1_16-1,2
28,4,187,151.8462466,1399.816799,0,168.0850983,16-1_16-1,2
29,3,180,154.4350411,1399.816799,0,164.9856567,16-1_16-1,2
30,2,182,157.0238356,1398.842192,0,170.9461212,16-1_16-1,2
31,1,184,159.6126301,1639.820833,0,164.9856567,16-1_16-1,2
32,0,88,162.2014247,1236.330027,0,191.9269562,32-1,1
0,64,32,158.72,2194.948494,0,301.8379211,64-1,1
1,63,73,161.3087945,1297.29985,3,688.0760193,8-4_16-2,2
2,62,84,163.897589,980.3730206,5,570.0588226,4-8_8-4,2
3,61,79,166.4863836,1308.048938,5,551.2237549,4-8_8-4,2
4,60,79,169.0751781,1504.088787,8,164.9856567,1-32_4-8,2
5,59,86,171.6639726,1297.000669,5,560.0452423,4-8_8-4,2
6,58,83,174.2527671,1297.000669,5,559.8068237,4-8_8-4,2
7,57,72,176.8415616,1860.599454,3,935.792923,8-4_16-2,2
8,56,80,179.4303562,1004.10651,3,676.1550903,8-4_16-2,2
9,55,78,182.0191507,1260.019407,3,657.081604,8-4_16-2,2
10,54,71,184.6079452,1339.646388,5,545.9785461,4-8_8-4,2
11,53,78,187.1967397,1057.108995,1,723.8388062,16-2_32-1,2
12,52,80,189.7855342,1057.108995,1,758.8863373,16-2_32-1,2
13,51,77,192.3743288,1137.138853,3,678.7776947,8-4_16-2,2
14,50,79,194.9631233,1002.011368,1,732.8987122,16-2_32-1,2
15,49,80,197.5519178,1002.011368,1,752.2106171,16-2_32-1,2
16,48,74,200.1407123,1777.178817,3,466.1083221,8-4_16-2,2
17,47,96,202.7295068,1073.481569,3,677.1087646,8-4_16-2,2
18,46,90,205.3183014,1073.481569,3,691.1754608,8-4_16-2,2
19,45,92,207.9070959,1305.789407,3,668.0488586,8-4_16-2,2
20,44,86,210.4958904,1279.077514,3,468.0156708,8-4_16-2,2
21,43,94,213.0846849,1261.821492,3,457.0484161,8-4_16-2,2
22,42,97,215.6734795,946.7848511,1,759.8400116,16-2_32-1,2
23,41,91,218.262274,945.1718302,1,761.0321045,16-2_32-1,2
24,40,99,220.8510685,945.1718302,1,732.8987122,16-2_32-1,2
25,39,75,223.439863,1604.790852,4,303.030014,16-Apr,1
26,38,77,226.0286575,1604.790852,4,283.0028534,16-Apr,1
27,37,76,228.6174521,1604.790852,4,439.8822784,16-Apr,1
28,36,77,231.2062466,1604.790852,4,274.8966217,16-Apr,1
29,35,77,233.7950411,1604.790852,4,310.8978271,16-Apr,1
30,34,78,236.3838356,1604.790852,4,295.8774567,16-Apr,1
31,33,75,238.9726301,1604.790852,4,284.910202,16-Apr,1
32,32,64,241.5614247,972.5153732,0,185.251236,32-1_32-1,2
33,31,81,244.1502192,917.0749869,8,183.1054688,2-16_2-16,2
34,30,75,246.7390137,917.0749869,8,175.9529114,2-16_2-16,2
35,29,71,249.3278082,917.0749869,8,186.2049103,2-16_2-16,2
36,28,71,251.9166027,917.0749869,8,179.0523529,2-16_2-16,2
37,27,66,254.5053973,917.0749869,8,187.1585846,2-16_2-16,2
38,26,66,257.0941918,917.0749869,8,199.0795135,2-16_2-16,2
39,25,71,259.6829863,917.0749869,8,186.920166,2-16_2-16,2
40,24,71,262.2717808,917.0749869,8,174.0455627,2-16_2-16,2
41,23,70,264.8605753,917.0749869,8,177.1450043,2-16_2-16,2
42,22,73,267.4493699,917.0749869,8,177.86026,2-16_2-16,2
43,21,70,270.0381644,931.2976427,7,194.0727234,4-8_2-16,2
44,20,79,272.6269589,917.0749869,8,181.1981201,2-16_2-16,2
45,19,76,275.2157534,917.0749869,8,179.0523529,2-16_2-16,2
46,18,76,277.8045479,917.0749869,8,177.1450043,2-16_2-16,2
47,17,74,280.3933425,917.0749869,8,181.9133759,2-16_2-16,2
48,16,70,282.982137,931.2976427,7,187.8738403,4-8_2-16,2
49,15,72,285.5709315,809.144216,5,351.190567,8-4_4-8,2
