A100,V100,Valid Plans,Money Cost,Wall Clock Time,Depth,Latency,TP/DP Strategy,PP Degree
4,0,62,20.27517808,11062.072350533017,0,156.1641693,1-Apr,1
2,6,149,25.01758904,18962.33757130881,2,510.2157593,1-1_1-2_1-1_1-1_1-1_1-2,6
3,5,340,27.60638356,18886.359587112216,3,257.0152283,1-4_2-1_1-2,3
4,4,252,30.19517808,13854.945504891573,0,253.200531,4-1_4-1,2
5,3,272,32.7839726,6591.698604114182,4,199.0795135,1-4_1-4,2
6,2,68,35.37276712,5552.249536926587,4,112.0567322,1-4_1-4,2
7,1,236,37.96156164,9995.664802154566,4,113.0104065,1-4_1-4,2
8,0,352,40.55035616,6092.519370297471,0,153.0647278,1-Aug,1
0,32,174,79.36,3383.446136885576,0,195.0263977,32-1,1
1,31,473,81.94879452,2671.2018281587084,4,441.0743713,4-4_4-4,2
2,30,319,84.53758904,1428.864355344979,5,432.9681396,2-8_4-4,2
3,29,281,87.12638356,2390.5559811743137,3,425.8155823,4-4_8-2,2
4,28,228,89.71517808,2162.928998680486,3,469.2077637,4-4_8-2,2
5,27,232,92.3039726,705.7541556250337,7,142.0974731,1-16_2-8,2
6,26,289,94.89276712,547.9901769743294,4,439.8822784,4-4_4-4,2
7,25,277,97.48156164,1516.3680583166483,1,493.7648773,8-2_16-1,2
8,24,253,100.0703562,1788.887466944155,6,138.0443573,1-16_4-4,2
9,23,244,102.6591507,4034.5233181469994,0,174.0455627,16-1_16-1,2
10,22,259,105.2479452,2202.2751780966078,0,175.2376556,16-1_16-1,2
11,21,240,107.8367397,1502.256215383481,0,221.9676971,8-1_8-1_8-1_8-1,4
12,20,218,110.4255342,5037.612936865324,0,211.9541168,8-1_8-1_8-1_8-1,4
13,19,213,113.0143288,2986.4215363498297,0,164.9856567,16-1_16-1,2
14,18,205,115.6031233,3188.4493242938825,0,278.9497375,16-1_16-1,2
15,17,237,118.1919178,1456.012492869794,0,169.0387726,16-1_16-1,2
16,16,206,120.7807123,1471.2495780055867,0,130.8917999,16-1_16-1,2
17,15,208,123.3695068,1914.5115895956205,6,144.9584961,2-8_2-8,2
18,14,200,125.9583014,989.1861369780881,6,144.0048218,2-8_2-8,2
19,13,209,128.5470959,2108.663506914521,6,141.1437988,2-8_2-8,2
20,12,225,131.1358904,1392.7449459097338,6,141.1437988,2-8_2-8,2
21,11,222,133.7246849,1619.285047385119,6,141.1437988,2-8_2-8,2
22,10,210,136.3134795,1391.961870360702,6,200.9868622,2-8_2-8,2
23,9,205,138.902274,3191.3956615283946,6,138.9980316,2-8_2-8,2
24,8,208,141.4910685,1823.2782540404214,6,134.9449158,2-8_2-8,2
25,7,189,144.079863,946.0382663625326,0,169.9924469,16-1_16-1,2
26,6,190,146.6686575,2179.3513461779853,0,170.9461212,16-1_16-1,2
27,5,187,149.2574521,839.0348925767031,0,166.8930054,16-1_16-1,2
28,4,187,151.8462466,1516.7651065948758,0,168.0850983,16-1_16-1,2
29,3,180,154.4350411,302.5451350378716,0,164.9856567,16-1_16-1,2
30,2,182,157.0238356,655.67311839004,0,170.9461212,16-1_16-1,2
31,1,184,159.6126301,1768.9476953153262,0,164.9856567,16-1_16-1,2
32,0,88,162.2014247,1601.5253897137293,0,191.9269562,32-1,1
0,64,32,158.72,2345.4063142869177,0,301.8379211,64-1,1
1,63,73,161.3087945,1237.2876502419913,3,688.0760193,8-4_16-2,2
2,62,84,163.897589,862.2954447765225,5,570.0588226,4-8_8-4,2
3,61,79,166.4863836,534.4572902760962,5,551.2237549,4-8_8-4,2
4,60,79,169.0751781,1071.0049461066508,8,164.9856567,1-32_4-8,2
5,59,86,171.6639726,1058.021151359127,5,560.0452423,4-8_8-4,2
6,58,83,174.2527671,1845.4359628482812,5,559.8068237,4-8_8-4,2
7,57,72,176.8415616,2116.3338547821972,3,935.792923,8-4_16-2,2
8,56,80,179.4303562,295.994471043547,3,676.1550903,8-4_16-2,2
9,55,78,182.0191507,1423.3602433740143,3,657.081604,8-4_16-2,2
10,54,71,184.6079452,1133.2967535829914,5,545.9785461,4-8_8-4,2
